name,url,duration,test_type,remote_testing,adaptive_irt
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,N/A,"B, P, S, A",Yes,Yes
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,N/A,"P, S, K, B, A",Yes,Yes
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,N/A,"A, B, P",Yes,No
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,N/A,"B, A, P",Yes,Yes
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,N/A,"A, B, P",Yes,Yes
Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,N/A,"B, P, A",Yes,No
Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,N/A,"A, B, P",Yes,No
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,N/A,"C, P",Yes,No
Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,N/A,"C, P",Yes,No
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,N/A,"C, P",Yes,No
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,N/A,"B, C, P",Yes,No
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,N/A,"P, B, C",Yes,No
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,N/A,"C, P, B",Yes,No
Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,N/A,"S, A, B, P",Yes,Yes
Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,N/A,"A, B, P",Yes,Yes
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,N/A,"A, B, P",Yes,No
Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,N/A,"A, B, P",Yes,No
Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,N/A,"A, B, P",Yes,Yes
Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,N/A,"A, B, P, S",Yes,Yes
Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,N/A,"S, A, B, K, P",Yes,Yes
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,N/A,B,Yes,No
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,N/A,B,Yes,No
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,N/A,B,Yes,No
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,N/A,"B, K",Yes,No
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,N/A,"A, B, P",Yes,No
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,N/A,"B, C",Yes,No
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,N/A,"P, B",Yes,No
Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,N/A,B,Yes,No
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,N/A,"C, P",Yes,No
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,N/A,"C, P",Yes,No
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,N/A,C,Yes,No
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,N/A,K,Yes,No
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,N/A,K,Yes,No
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,N/A,K,Yes,No
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,N/A,K,Yes,No
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,N/A,K,Yes,No
IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,N/A,K,Yes,No
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,N/A,K,Yes,No
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,N/A,K,Yes,No
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,N/A,K,Yes,No
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,N/A,"P, S, A, B",Yes,Yes
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,N/A,"A, B, C, P, S",Yes,No
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,N/A,"S, B, C, P",Yes,No
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,N/A,"A, B, P, S",Yes,Yes
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,N/A,"P, B, C, A, S",Yes,No
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,N/A,"S, B, C, P",Yes,No
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,N/A,"A, B, P, S",Yes,Yes
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,N/A,"A, B, P, S",Yes,No
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,N/A,"A, B, P",Yes,Yes
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,N/A,"A, B, P",Yes,Yes
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,N/A,"A, B, P",Yes,Yes
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,N/A,"A, B, P",Yes,Yes
Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,N/A,"B, C, P",Yes,Yes
Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,N/A,"B, C, P",Yes,Yes
Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,N/A,"B, C",Yes,No
Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,N/A,"B, C, P",Yes,No
Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,N/A,"B, C, P",Yes,No
Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,N/A,"B, K, P",Yes,No
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,N/A,"B, K, P",Yes,No
Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,N/A,"A, B",Yes,No
Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,N/A,"A, B",Yes,No
Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,N/A,"P, S, K, B, A",Yes,Yes
Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,N/A,"S, A, B, P",Yes,Yes
Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,N/A,"P, A, B",Yes,Yes
Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,N/A,"A, B, P",Yes,No
Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,N/A,"A, B, K, P, S",Yes,No
Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,N/A,"A, B, P",Yes,No
Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,N/A,"A, B, P",Yes,Yes
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,N/A,"A, B, C",Yes,Yes
Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,N/A,"B, C, P",Yes,Yes
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,N/A,"B, C, P",Yes,Yes
Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,N/A,"B, C",Yes,No
Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,N/A,"C, B",Yes,No
Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,N/A,"B, K, P",Yes,No
Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,N/A,"A, B, P, S",Yes,Yes
Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,N/A,"A, B, P, S",Yes,Yes
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,N/A,S,Yes,No
Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,N/A,"A, P, S, B",Yes,Yes
Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,N/A,"A, B, P, S",Yes,Yes
Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,N/A,"A, B, P",Yes,Yes
Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,N/A,"A, B, P",Yes,Yes
Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,N/A,"A, B, P",Yes,Yes
Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,N/A,"A, B, P",Yes,Yes
Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,N/A,"A, B, P",Yes,Yes
Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,N/A,"A, B, K, P, S",Yes,Yes
Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,N/A,"A, B, P",Yes,Yes
Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,N/A,"C, B",Yes,No
Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,N/A,"B, C",Yes,No
Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,N/A,"A, B, P",Yes,Yes
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,N/A,"A, B, P",Yes,Yes
Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,N/A,"A, B, P",Yes,Yes
Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,N/A,"A, B, P",Yes,Yes
Senior Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,N/A,"A, B, P",Yes,No
Senior Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,N/A,"A, B, P",Yes,Yes
Server Solution,https://www.shl.com/solutions/products/product-catalog/view/server-solution/,N/A,"B, A, P",Yes,Yes
Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,N/A,"A, B, P",Yes,Yes
Service Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/,N/A,"A, B, P",Yes,Yes
Stock Clerk Solution,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,N/A,"A, B, P",Yes,No
Store Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/,N/A,"B, C",Yes,No
Store Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,N/A,"B, C",Yes,No
Store Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/,N/A,"C, B",Yes,No
Store Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/,N/A,"A, B, P",Yes,Yes
Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/,N/A,S,Yes,Yes
Supervisor 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/,N/A,"B, C",Yes,No
Supervisor 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/,N/A,"B, C, P",Yes,No
Supervisor 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/,N/A,"P, C, B",Yes,No
Support Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/,N/A,"A, B, P",Yes,Yes
Support Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/,N/A,"A, P, S, B",Yes,Yes
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,N/A,"A, B, P",Yes,No
Technician/Technologist Solution,https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/,N/A,"A, B, P",Yes,Yes
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,N/A,"C, P",Yes,No
Telenurse Solution,https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/,N/A,"A, B, P",Yes,Yes
Teller 7.0,https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/,N/A,"B, K, P, S",Yes,Yes
Teller with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/,N/A,"A, B, K, P, S",Yes,No
Transcriptionist Solution,https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/,N/A,"A, B, K, P",Yes,Yes
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/,N/A,B,Yes,No
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/,N/A,B,Yes,No
Workplace Safety - Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/,N/A,B,Yes,No
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,N/A,"B, C, P",Yes,No
Workplace Safety - Team 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/,N/A,"B, C, P",Yes,No
Workplace Safety Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/,N/A,"B, P",Yes,Yes
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,N/A,"C, P, A, B",Yes,Yes
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,N/A,"A, K, P",Yes,Yes
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,N/A,"A, B, P, S",Yes,Yes
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,N/A,"B, P",Yes,No
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,N/A,"B, P",Yes,No
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,N/A,"A, B, K, P",Yes,No
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,N/A,"A, B, P",Yes,No
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,N/A,"A, B, P, S",Yes,Yes
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,N/A,"B, P, S, A",Yes,Yes
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,N/A,"P, S, K, B, A",Yes,Yes
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,N/A,"A, B, P",Yes,No
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,N/A,"B, A, P",Yes,Yes
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,N/A,K,Yes,No
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,N/A,K,Yes,Yes
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,N/A,K,Yes,No
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,N/A,K,Yes,No
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,N/A,K,Yes,No
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,N/A,K,Yes,No
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,N/A,P,Yes,No
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,N/A,K,Yes,No
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,N/A,K,Yes,No
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,N/A,K,Yes,No
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,N/A,K,Yes,No
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,N/A,K,Yes,No
Oracle DBA (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-advanced-level-new/,N/A,K,Yes,No
Oracle DBA (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-entry-level-new/,N/A,K,Yes,No
Oracle PL/SQL (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-plsql-new/,N/A,K,Yes,No
Oracle WebLogic Server (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-weblogic-server-new/,N/A,K,Yes,No
Organic Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/organic-chemistry-new/,N/A,K,Yes,No
Paint Technology (New),https://www.shl.com/solutions/products/product-catalog/view/paint-technology-new/,N/A,K,Yes,No
Pediatrics (New),https://www.shl.com/solutions/products/product-catalog/view/pediatrics-new/,N/A,K,Yes,No
Pega Development (New),https://www.shl.com/solutions/products/product-catalog/view/pega-development-new/,N/A,K,Yes,No
Perl (New),https://www.shl.com/solutions/products/product-catalog/view/perl-new/,N/A,K,Yes,No
Petrochemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/petrochemical-engineering-new/,N/A,K,Yes,No
Petroleum Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/petroleum-engineering-new/,N/A,K,Yes,No
Pharmaceutical Analysis (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-analysis-new/,N/A,K,Yes,No
Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,N/A,S,Yes,No
Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,N/A,S,Yes,No
Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,N/A,S,Yes,No
Automata Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/,N/A,S,Yes,No
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,N/A,S,Yes,No
Automation Anywhere RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,N/A,K,Yes,No
Automotive Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/,N/A,K,Yes,No
Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,N/A,K,Yes,No
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,N/A,"S, K",Yes,No
Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,N/A,K,Yes,No
Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,N/A,K,Yes,No
Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,N/A,K,Yes,No
BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,N/A,K,Yes,No
Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,N/A,K,Yes,Yes
Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,N/A,K,Yes,No
C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,N/A,K,Yes,No
C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,N/A,K,Yes,No
C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,N/A,K,Yes,No
Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,N/A,K,Yes,No
Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,N/A,K,Yes,No
Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/,N/A,K,Yes,No
Cisco AppDynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/,N/A,K,Yes,No
Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/,N/A,K,Yes,No
Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/,N/A,K,Yes,No
RemoteWorkQ Participant Report,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-participant-report/,N/A,C,Yes,No
RESTful Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/restful-web-services-new/,N/A,K,Yes,No
Retail Sales and Service Simulation,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-and-service-simulation/,N/A,"B, K, S, A",Yes,No
Reviewing Forms - US (R1),https://www.shl.com/solutions/products/product-catalog/view/reviewing-forms-us-r1/,N/A,K,Yes,No
Ruby (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-new/,N/A,K,Yes,No
Ruby on Rails (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-on-rails-new/,N/A,K,Yes,No
Sales & Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-simulation/,N/A,"S, B",Yes,No
Sales & Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-solution/,N/A,"B, P, S",Yes,No
Sales Interview Guide,https://www.shl.com/solutions/products/product-catalog/view/sales-interview-guide/,N/A,"P, P",Yes,No
Sales Profiler Cards,https://www.shl.com/solutions/products/product-catalog/view/sales-profiler-cards/,N/A,P,Yes,No
